"sfid","nfid","zm"
339,"Q-08-162","qro"
340,"Q-03-636","qro"
341,"L-02-409","len"
342,"L-05-828","len"
343,"Q-04-566","qro"
344,"Q-09-580","qro"
345,"L-08-529","len"
346,"Q-10-536","qro"
347,"L-00-051","len"
348,"Q-09-785","qro"
349,"L-00-722","len"
350,"Q-07-939","qro"
351,"Q-05-779","qro"
352,"L-05-345","len"
353,"Q-03-730","qro"
354,"L-06-640","len"
355,"Q-10-163","qro"
356,"Q-04-958","qro"
357,"Q-04-332","qro"
358,"L-04-494","len"
359,"Q-05-314","qro"
360,"L-09-056","len"
361,"Q-04-616","qro"
362,"Q-11-051","qro"
363,"Q-02-074","qro"
364,"L-07-017","len"
365,"L-04-811","len"
366,"L-00-135","len"
367,"Q-10-697","qro"
368,"Q-06-418","qro"
369,"Q-05-228","qro"
370,"Q-07-756","qro"
371,"Q-02-931","qro"
372,"L-03-965","len"
373,"Q-09-408","qro"
374,"L-00-231","len"
375,"Q-03-192","qro"
376,"Q-05-084","qro"
377,"Q-07-705","qro"
378,"L-03-846","len"
379,"L-09-604","len"
380,"Q-01-430","qro"
381,"L-00-983","len"
382,"L-04-135","len"
383,"Q-06-780","qro"
384,"L-09-682","len"
385,"Q-01-538","qro"
386,"Q-08-544","qro"
387,"L-01-497","len"
388,"L-00-861","len"
389,"L-01-637","len"
390,"Q-10-432","qro"
391,"L-05-123","len"
392,"L-07-626","len"
393,"Q-03-924","qro"
394,"Q-03-264","qro"
395,"Q-02-129","qro"
396,"Q-09-306","qro"
397,"L-02-711","len"
398,"L-05-057","len"
399,"L-06-576","len"
400,"L-05-398","len"
401,"Q-06-036","qro"
402,"L-03-401","len"
403,"L-09-456","len"
404,"Q-08-576","qro"
405,"Q-03-864","qro"
406,"Q-07-580","qro"
407,"Q-10-339","qro"
408,"L-08-690","len"
409,"Q-03-947","qro"
410,"Q-03-909","qro"
411,"Q-00-176","qro"
412,"L-00-338","len"
413,"Q-08-087","qro"
414,"L-05-830","len"
415,"L-06-943","len"
416,"Q-11-029","qro"
417,"L-04-168","len"
418,"L-03-275","len"
