sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
980,L-03-289,len,privado,baldio/zona de reserva,arbolado,,
981,L-00-179,len,privado,equipamiento urbano,residencial,,
982,L-07-528,len,privado,jardin institucional,industrial,Tejas Águila,
983,L-08-980,len,privado,jardin residencial,campestre,,
984,Q-08-797,qro,privado,baldio/zona de reserva,,,
985,L-06-103,len,privado,baldio/zona de reserva,,,
986,Q-06-437,qro,privado,jardin residencial,,,
987,Q-04-902,qro,privado,jardin residencial,rural,,
988,L-08-277,len,privado,jardin residencial,rural,,
989,L-05-216,len,privado,baldio/zona de reserva,arbolado,,
990,L-01-944,len,privado,agricola/cultivo,arbolado,,
991,Q-02-696,qro,privado,baldio/zona de reserva,arbolado,,
992,Q-10-891,qro,privado,jardin residencial,campestre,,
993,L-02-540,len,privado,jardin residencial,campestre,,
994,L-09-671,len,privado,jardin residencial,campestre,,
995,Q-05-444,qro,privado,baldio/zona de reserva,residencial,arbolado,
996,L-06-737,len,privado,jardin institucional,comercial,bodegas,
997,L-00-229,len,privado,equipamiento urbano,arroyo,,
998,L-00-277,len,privado,baldio/zona de reserva,arroyo,arbolado,
999,Q-00-817,qro,publico,equipamiento urbano,camellón,,
1000,L-09-085,len,privado,agricola/cultivo,arbolado,,
