sfid,nfid,zm,tipo 1,tipo2,descripcion ,observa,valida
153,Q-03-241,qro,privado,jardin residencial,popular,,
154,Q-01-072,qro,privado,baldio/zona de reserva,,,
155,Q-00-869,qro,publico,equipamiento urbano,,,
156,L-07-988,len,privado,jardin institucional,comercial,salón de fiestas,
157,Q-10-362,qro,privado,baldio/zona de reserva,,,
158,Q-05-992,qro,privado,jardin residencial,rural,,
159,L-01-618,len,privado,agricola/cultivo,industrial,,
160,L-02-061,len,privado,baldio/zona de reserva,,,
161,L-01-602,len,privado,jardin institucional,industrial,,
162,L-10-378,len,privado,jardin residencial,rural,,
163,L-06-646,len,privado,jardin residencial,rural,,
164,L-10-137,len,privado,jardin residencial,rural,,
165,L-00-521,len,privado,baldio/zona de reserva,arroyo,,
166,L-06-494,len,privado,baldio/zona de reserva,,,
167,Q-10-975,qro,privado,baldio/zona de reserva,,,
168,Q-01-152,qro,privado,baldio/zona de reserva,canal,,
169,Q-09-231,qro,privado,jardin residencial,residencial,,
170,Q-03-624,qro,privado,baldio/zona de reserva,,,
171,Q-04-344,qro,privado,baldio/zona de reserva,,,
172,L-05-882,len,privado,baldio/zona de reserva,,,
173,L-05-965,len,privado,jardin residencial,rural,,
174,Q-10-363,qro,privado,baldio/zona de reserva,,,
175,L-02-379,len,privado,jardin residencial,residencial,,
176,L-04-555,len,privado,baldio/zona de reserva,,,
177,L-04-463,len,privado,deportivo,,club hípico,
178,L-05-404,len,privado,jardin residencial,rural,,
179,Q-05-476,qro,privado,jardin residencial,popular,,
180,Q-05-674,qro,privado,jardin institucional,comercial,salón de fiestas,
181,L-00-630,len,privado,parque,residencial,,
182,Q-04-773,qro,privado,baldio/zona de reserva,,,
183,L-08-819,len,privado,jardin residencial,rural,,
184,L-06-036,len,privado,jardin institucional,abandonado,Era una estructura agrícola,
185,Q-02-665,qro,privado,jardin residencial,campestre,,
186,Q-06-127,qro,privado,baldio/zona de reserva,,,
187,L-07-910,len,privado,baldio/zona de reserva,,,
188,Q-03-862,qro,privado,jardin residencial,comercial,hotel,
189,Q-06-944,qro,privado,jardin institucional,comercial,taller,
190,L-03-524,len,privado,jardin institucional,escuela,,
191,L-01-172,len,privado,baldio/zona de reserva,,,
192,Q-04-679,qro,privado,baldio/zona de reserva,,,
193,Q-04-057,qro,privado,jardin institucional,club,parte de las instalaciones del club de golf,
194,L-01-819,len,privado,jardin residencial,,,
195,Q-08-869,qro,privado,jardin residencial,residencial,,
196,Q-07-410,qro,privado,baldio/zona de reserva,,,
197,Q-05-727,qro,privado,equipamiento urbano,industrial,,
198,Q-01-024,qro,privado,jardin institucional,centro cultural,,
199,Q-09-102,qro,privado,jardin institucional,industrial,patio de servicio/taller,
200,L-03-922,len,privado,jardin residencial,rural,,
201,Q-06-282,qro,privado,jardin residencial,,,
202,Q-07-870,qro,privado,jardin institucional,comercial,hotel,
203,Q-05-797,qro,privado,baldio/zona de reserva,,,
204,Q-01-918,qro,privado,deportivo,residencial,,
205,L-06-219,len,privado,jardin institucional,comercial,granja vacas,
206,L-05-337,len,privado,jardin residencial,rural,se mezcla la capa con zona de cultivo,
207,L-06-830,len,privado,agricola/cultivo,,,
